index,Team,Record,RPI,Projections,1st,2nd,3rd,SOS,vs 1-5,vs 6-10,vs 11-20,vs 21+
30,Montevallo,9-4,0.5409,,0.6923,0.4816,0.5082,42,0 - 0,0 - 1,1 - 1,8 - 2
31,Belmont Abbey,8-6,0.5395,,0.5714,0.5350,0.5167,18,0 - 2,0 - 0,0 - 2,8 - 2
32,Anderson (SC),7-7,0.5394,,0.5000,0.5644,0.5289,11,0 - 2,0 - 2,0 - 1,7 - 2
33,Saint Michael's,6-4,0.5386,,0.6000,0.5112,0.5319,52,0 - 2,0 - 1,1 - 0,5 - 1
34,Flagler,4-8,0.5297,,0.3333,0.6121,0.5614,7,0 - 2,0 - 1,0 - 1,4 - 4
35,Saint Rose,7-7,0.5291,,0.5000,0.5582,0.5001,24,0 - 2,0 - 1,0 - 1,7 - 3
36,Embry-Riddle,6-7,0.5279,,0.4615,0.5537,0.5426,14,0 - 1,0 - 1,1 - 0,5 - 5
37,Chestnut Hill,6-4,0.5254,,0.6000,0.5103,0.4809,60,0 - 1,0 - 0,0 - 1,6 - 2
38,Molloy,6-8,0.5171,,0.4286,0.5731,0.4937,11,0 - 2,0 - 1,0 - 3,6 - 2
39,Georgian Court,8-6,0.5157,,0.5714,0.5082,0.4748,35,0 - 2,0 - 1,0 - 1,8 - 2
40,Lynn,4-8,0.5086,,0.3333,0.5736,0.5538,14,0 - 1,0 - 1,0 - 2,4 - 4
41,Palm Beach Atlantic,4-5,0.4967,,0.4444,0.5031,0.5362,49,0 - 1,0 - 1,0 - 1,4 - 2
42,North Greenville,8-7,0.4931,,0.5333,0.4721,0.4947,38,0 - 1,0 - 0,0 - 0,8 - 6
43,Catawba,7-7,0.4925,,0.5000,0.4819,0.5062,33,0 - 1,0 - 1,0 - 1,7 - 4
44,Coker,6-7,0.4896,,0.4615,0.4969,0.5030,43,0 - 2,0 - 0,0 - 1,6 - 4
45,Lake Erie,6-7,0.4859,,0.4615,0.4918,0.4982,31,0 - 0,0 - 1,0 - 3,6 - 3
46,Southern NH,3-8,0.4849,,0.2727,0.5690,0.5290,22,0 - 1,0 - 1,0 - 2,3 - 4
47,Quincy,5-7,0.4816,,0.4167,0.5069,0.4958,40,0 - 0,0 - 1,0 - 3,5 - 3
48,Alabama Huntsville,6-7,0.4778,,0.4615,0.4619,0.5259,34,0 - 0,0 - 1,0 - 2,6 - 4
49,Franklin Pierce,3-8,0.4680,,0.2727,0.5477,0.5040,44,0 - 2,0 - 1,0 - 1,3 - 4
50,Barton,6-8,0.4670,,0.4286,0.4723,0.4948,37,0 - 1,0 - 1,0 - 0,6 - 6
51,William Jewell,4-7,0.4660,,0.3636,0.5082,0.4839,53,0 - 0,0 - 1,0 - 3,4 - 3
52,Walsh,4-8,0.4538,,0.3333,0.5013,0.4795,50,0 - 0,0 - 1,0 - 2,4 - 5
53,AIC,5-8,0.4531,,0.3846,0.4618,0.5041,39,0 - 1,0 - 1,0 - 2,5 - 4
54,Mars Hill,5-9,0.4490,,0.3571,0.4752,0.4884,40,0 - 1,0 - 1,0 - 1,5 - 6
55,Concordia Irvine,6-7,0.4424,,0.4615,0.4149,0.4782,51,0 - 0,0 - 1,0 - 2,6 - 4
56,Wheeling,5-7,0.4374,,0.4167,0.4278,0.4773,58,0 - 0,0 - 0,0 - 3,5 - 4
57,Bridgeport,6-6,0.4328,,0.5000,0.3899,0.4513,67,0 - 0,0 - 0,0 - 0,6 - 6
58,Post,7-6,0.4276,,0.5385,0.3644,0.4431,71,0 - 0,0 - 0,0 - 0,7 - 6
59,Lincoln Memorial,4-11,0.4269,,0.2667,0.4720,0.4969,21,0 - 2,0 - 1,0 - 1,4 - 7
60,Young Harris,6-7,0.4222,,0.4615,0.3808,0.4655,62,0 - 0,0 - 0,0 - 0,6 - 7
61,Malone,6-6,0.4214,,0.5000,0.3705,0.4445,68,0 - 0,0 - 0,0 - 2,6 - 4
62,Dominican (CA),2-10,0.4086,,0.1667,0.4967,0.4743,48,0 - 0,0 - 0,0 - 3,2 - 7
63,Thomas More,1-6,0.3968,,0.1429,0.4932,0.4580,59,0 - 0,0 - 0,0 - 2,1 - 4
64,Caldwell,3-7,0.3965,,0.3000,0.4039,0.4783,66,0 - 0,0 - 0,0 - 1,3 - 6
65,Tusculum,1-14,0.3921,,0.0667,0.5041,0.4935,17,0 - 2,0 - 1,0 - 1,1 - 10
66,Shorter,3-5,0.3751,,0.3750,0.3349,0.4556,75,0 - 0,0 - 0,0 - 0,3 - 5
67,St. Thomas Aquinas,5-9,0.3693,,0.3571,0.3598,0.4005,72,0 - 0,0 - 1,0 - 1,5 - 7
68,Dominican (NY),3-7,0.3686,,0.3000,0.3757,0.4232,76,0 - 0,0 - 0,0 - 0,3 - 7
69,Chowan,5-7,0.3654,,0.4167,0.3034,0.4382,74,0 - 0,0 - 0,0 - 0,5 - 7
70,Tiffin,1-8,0.3639,,0.1111,0.4519,0.4408,69,0 - 0,0 - 0,0 - 1,1 - 7
71,Emmanuel (GA),0-15,0.3583,,0.0000,0.4845,0.4640,45,0 - 0,0 - 0,0 - 1,0 - 14
72,Felician,4-7,0.3484,,0.3636,0.3105,0.4088,78,0 - 0,0 - 0,0 - 0,4 - 7
73,D'Youville,2-12,0.3411,,0.1429,0.3835,0.4544,63,0 - 0,0 - 0,0 - 0,2 - 12
74,Lees-McRae,0-7,0.3360,,0.0000,0.4595,0.4251,70,0 - 0,0 - 0,0 - 0,0 - 7
75,CSU Pueblo,2-9,0.3343,,0.1818,0.3445,0.4666,65,0 - 0,0 - 0,0 - 2,2 - 7
76,Adams State,1-10,0.3179,,0.0909,0.3582,0.4641,64,0 - 0,0 - 0,0 - 2,1 - 8
77,Davis & Elkins,3-9,0.3149,,0.2500,0.2878,0.4341,73,0 - 0,0 - 0,0 - 2,3 - 7
78,District of Columbia,1-9,0.2942,,0.1000,0.3309,0.4151,77,0 - 0,0 - 1,0 - 0,1 - 8
79,Holy Family,0-10,0.2749,,0.0000,0.3535,0.3925,79,0 - 0,0 - 0,0 - 0,0 - 10
80,Virginia State,1-9,0.2654,,0.1000,0.2925,0.3768,80,0 - 0,0 - 0,0 - 0,1 - 9
