Rank,Club,Rating,Link
52,NXT 2024 Black,92.37,
53,Xtreme 2024,92.36,
54,Yellow Jackets South 2024,92.17,
55,Ultimate 2024 Hustle,92.14,
56,Southern Zone 2024,92.09,
57,Hero's 2024 White,91.88,
58,CLC 2024 Pride,91.8,
59,Checkhers 2024,91.8,
60,NH Tomahawks 2024 Purple,91.65,
61,Monster Elite 2024 White,91.62,
62,Lake Effect Storm 2024 Elite,91.53,
63,Snipers Elite 2024,91.44,
64,Ultimate PA 2024 Blue,91.14,
65,Charlotte Style 2024,91.1,
66,REV 2024 Black,91.1,
67,Team CO Select Blue,91.04,
68,Cavalier 2024,90.91,
69,Coppermine 2024 Black,90.71,
70,Team 91 Long Island 2024 Orange,90.7,
71,LI Jesters 2024 Black,90.68,
72,Capital 2024 Orange,90.6,
73,True National 2024,90.56,
74,Lacrosse Monkey 2024,90.54,
75,UPROAR 2024 ELITE,90.34,
76,Gold Coast 2024 Gold,90.32,
77,Bay State Bullets 2024 Silver,90.24,
78,Team BC Sophomores,90.23,
79,DK3 2024,90.2,
80,Atlanta Storm 2024 Blue,90.17,
81,Triumph 2024,90.13,
82,Lakeshore NP 2024,90.12,
83,PA Express 2024 Orange,90.12,
84,Relentless Hustle 2024,89.81,
85,ESLC Pirates 2024,89.78,
86,Tenacity Bay Area 2024,89.78,
87,Sound 2024,89.62,
88,C2 Select 2024 Black,89.6,
89,Lakeshore 2024,89.59,
90,True Illinois 2024 State,89.59,
91,Middlesex Bears 2024,89.49,
92,HOCO 2024 Black,89.48,
93,LI Empire 2024 Bengals,89.28,
94,Philly Blast 2024 Fight,89.18,
95,NC Fusion 2024,89.09,
96,York Invaders 2024,89.07,
97,Dynasty Elite 2024 Zulu,89.03,
98,Ultimate NJ 2024 Blue,88.98,
99,LI Yellow Jackets 2024 O'Sullivan,88.98,
100,Integrity 2024 Blue,88.96,
101,Mad Dog NJ North 2024 Black,88.85,
102,Major Force Black 2024,88.83,
103,All Lax 2024,88.68,
104,Team ONE Wildcat 2024,88.65,
105,ADK Peak 2024,88.57,
106,Coast 2024 Elite,88.55,
107,214Lax Dallas 2024,88.39,
108,DEWLAX 2024 BLUE,88.32,
109,Blue Devils 2024,88.28,
110,VA Metro 2024 Navy,88.25,
111,Philly Blast 2024 Fire,88.2,
112,Nor'easter 2024 Power,88.12,
113,Dynasty 2024 Zulu,88.09,
114,Triumph 2024 National Premier,88.05,
115,Triple Threat Elite Central 2024,88.01,
116,Redshirts 2024,88.0,
117,LI Top Guns 2024 Purple,87.96,
118,Oregon Pride 2024,87.96,
119,GRIT Dallas 2024,87.94,
120,GRIT Austin 2024,87.9,
121,Minnesota Elite 2024,87.81,
122,3D New England 2024,87.78,
123,FLG 2024,87.77,
124,STEPS Elite NJ 2024 White,87.77,
125,Laxachusetts 2024 Yellow,87.64,
126,Ultimate 2024 Power,87.59,
127,Belles 2024,87.56,
128,Metro 2024 Blue,87.56,
129,Team BC 2024,87.54,
130,SJ Shamrocks 2024,87.47,
131,Nor'easter 2024 Grit,87.45,
132,Mass Elite 2024 White,87.4,
133,CCLax 2024 Black,87.2,
134,Impact 2024,87.12,
135,518Excelerate 2024,86.99,
136,Gold Star 2024,86.89,
137,Lady Blue Crabs 2024,86.89,
138,Ultimate NC 2024 Blue,86.89,
139,Granite State Elite 2024,86.88,
140,MC Elite 2024 Midnight,86.77,
141,Reign 2024,86.77,
142,Lax On Elite 2024,86.76,
143,Grit Houston 2024,86.61,
144,Ultimate CLT 2024 Blue,86.53,
145,3D Nation's Best 2024,86.38,
146,NXT 2024 Volt,86.33,
147,TLC 2024 Gold,86.32,
148,Fire 2024,86.31,
149,Yellow Jackets North 2024 Rockland,86.29,
150,Bluegrass Premier 2024,86.18,
151,Phantastix 2024 West,86.02,
152,Yellow Jackets North 2024 Mager,86.01,
153,Summit 2024 Black,85.86,
154,DEWLAX 2024 Blue-White,85.75,
155,Eagle Stix 2024 Grey,85.66,
156,Pittsburgh Premier 2024 Blue,85.63,
157,Indy United 2024,85.46,
158,Lax Maniax 2024 White,85.39,
159,CLC 2024 Bold,85.36,
160,Orange Crush 2024,85.36,
161,CCLAX 2024,85.35,
162,BBL Elite 2024 Select,85.28,
163,Common Goal 2024,85.2,
164,Pride 2024 Loudon,85.13,
165,Monster Elite 2024 Orange,85.12,
166,Lucky Lax 2024,84.97,
167,ADK 2024,84.94,
168,True MN 2024 AAA,84.93,
169,True CA Attack 2024,84.7,
170,Limitless 2024,84.55,
171,South Jersey Select 2024 Black,84.46,
172,Coastal Crush 2024,84.22,
173,Seattle Starz 2024,84.19,
174,Madlax Capital Blue,84.06,
175,HOCO 2024 Pink,83.86,
176,Empress 2024,83.62,
177,Yellow Jackets North 2024 Kaishan,83.62,
178,Georgia Lady Outlaws 2024,83.58,
179,Rebels 2024 Gold,83.46,
180,Virginia One 2024 Gray,83.46,
181,Phantastix 2024 White,83.41,
182,Coppermine North 2024,83.25,
183,DEWLAX CT 2024,83.21,
184,MFL 2024 Blue,83.19,
185,Yellow Jackets North Mid Atlantic 2024,83.02,
186,DEWLAX 2024 CT,83.0,
187,Denver Pride 2024,82.92,
188,TLC 2024 White,82.87,
189,Team Elevate 2024 Blue,82.84,
190,Crush Elite 2024,82.77,
191,Resolute 2024 Black,82.67,
192,Recon 2024,82.64,
193,DEWLAX 2024 White,82.45,
194,VA Metro 2024 Orange,82.37,
195,ICON 2024,82.36,
196,UPROAR 2024 SELECT,82.23,
197,Atlanta Storm 2024 Orange,82.17,
198,True CO 2024 State,82.09,
199,Florida Shine Elite 2024,82.0,
200,LI Jesters 2024 Pink,81.84,
201,Cavalier NoVa 2024,81.72,
202,Medusa 2024,81.69,
203,NH Tomahawks 2024 Gold,81.68,
204,True Pittsburg 2024,81.56,
205,Mad Dog NJ 2024 Red,81.42,
206,Metro 2024 Green,81.4,
207,Dynasty Elite 2024 Bravo,80.99,
208,Jets Pink '23-'24,80.67,
209,Mad Dog NJ North 2024 Red,80.67,
210,Yellow Jackets North 2023-2024 Rockland,80.67,
