Rank,Club,Rating,Link
68,ADVNC NDP NorCal 2024,91.31,
69,Brotherly Love 2024 Apollo,91.3,
70,Team BC 2024,91.24,
71,Team 91 Tri-State 2024 Select,91.23,
72,New England Twisters 2024Blue,91.22,
73,Mesa PA 2024,91.2,
74,True Utah 2024,91.19,
75,Clams 2024 Orange,91.05,
76,East Ave 2024 AA,90.98,
77,Harvest 2024,90.98,
78,True Blue 2024 Goats,90.75,
79,True National 2024 Green,90.75,
80,Team CT 2024 Navy,90.74,
81,True Illinois 2024 Premier A,90.67,
82,NJ Riot 2024 Chaos,90.66,
83,Team 91 Georgia 2024,90.63,
84,Fighting Clams 2024,90.52,
85,Mad Dog NJ 2024,90.51,
86,NH Tomahawks 2024 Purple,90.5,
87,Rebels LC 2024 Surge,90.39,
88,LI Legacy 2024,90.38,
89,Blue Star 2024 White,90.36,
90,California Gold 2024,90.26,
91,Team Illinois 2024,90.21,
92,Nation United 2024,90.11,
93,UNRL National 2024,90.11,
94,Predators 2024,90.08,
95,Eclipse 2024 Orange,90.02,
96,DC Express 2024,89.99,
97,SouthShore 2024,89.92,
98,Legends National 2024,89.88,
99,Koopers 2024 Black,89.86,
100,3D Colorado 2024 AA Red,89.8,
101,Alcatraz Outlaws 2024,89.76,
102,No-Excuse Memphis 2023-2024,89.74,
103,Laxachusetts 2024 Green,89.71,
104,LI Empire 2024,89.66,
105,Laxachusetts 2024 Yellow,89.65,
106,HGR 2024 Blue,89.63,
107,Pinnacle 2024,89.54,
108,LI Rush 2024 Havoc,89.52,
109,Clams 2024 Blue,89.47,
110,Laxachusetts 2024 White,89.45,
111,True Utah 2024 Black,89.45,
112,Sixers 2024,89.43,
113,Igloo 2024 Windchill,89.43,
114,4Leaf 2024 Airforce,89.39,
115,Patriot Elite 2024 Chrome,89.32,
116,NY Reign 2024,89.3,
117,Patriot Elite 2024,89.29,
118,Seattle Starz 2024 Elite,89.26,
119,Florida Crabs 2024 Orange,89.21,
120,L4 Select 2024,89.21,
121,Haymakers LC 2024,89.18,
122,Thunder 2024 Orange,89.17,
123,Express North 2024 Orange,89.16,
124,3D New England 2024 Blue,89.15,
125,Headlines 2024 Navy,89.12,
126,Gorilla 2024 Silver,89.04,
127,Piatelli Pioneer 2024 Leary,88.98,
128,ADVNC National 2024,88.97,
129,True Elite 2024,88.96,
130,UNRL Texas 2024,88.93,
131,Resolute 2024 Red,88.81,
132,Prostart 2024 Blue,88.79,
133,MD Roughriders 2024,88.77,
134,SoCal Bulls 2024,88.75,
135,3D NE South 2024,88.74,
136,Arizona Outlaws 2024,88.73,
137,Tri-State 2024 Gold,88.7,
138,LI Legacy 2024 Launch,88.68,
139,True Ohio 2024 Black,88.68,
140,3D Georgia 2024 Red,88.65,
141,True Florida 2024,88.65,
142,2 Knights 2024,88.64,
143,UNRL 2024,88.64,
144,3D Gulf Coast 2024,88.63,
145,Alpha 2024 Premiere,88.6,
146,True MTN West 2024,88.58,
147,True National 2024 White,88.58,
148,Looney's 2024,88.55,
149,Grizzly 2024,88.53,
150,Pride 2024,88.42,
151,UNRL MN 2024,88.4,
152,Scorpions USA 2024,88.35,
153,Salty Dawgs 2024,88.31,
154,Mad Dog NJ Shore 2024 Black,88.3,
155,True North Carolina 2024,88.3,
156,Annapolis Hawks 2024 Black,88.28,
157,Iron Horse Houston 2024,88.27,
158,Laxachusetts 2024 Navy,88.26,
159,Prostart 2024 White,88.05,
160,Albany Power 2024,88.02,
161,Jersey Thunder 2024 Central,88.01,
162,Mint 2024,87.97,
163,No Excuse 2024,87.96,
164,Team 11 2024,87.94,
165,NCF Triad Elite 2024 Red,87.91,
166,Brotherhood 2024,87.9,
167,Team Money 2024,87.85,
168,CT Valley 2024 Blue,87.8,
169,TEAM Lacrosse 2024,87.76,
170,CitySide 2024,87.75,
171,Blackwolf 2024,87.73,
172,Fusion Canada West 2024,87.71,
173,Headstrong Lehigh Valley 2024,87.69,
174,Black Bear 2024,87.67,
175,HOCO 2024 Pink,87.48,
176,Iron Horse Dallas 2024,87.47,
177,NXT 2024 Rattler,87.26,
178,Midwest Top Gun 2024,87.23,
179,2Way North 2024,87.22,
180,LI Express 2024 O'Reilly Black,87.21,
181,Turtles 2024,87.16,
182,Diamond National 2024,87.1,
183,HOCO 2024,87.1,
184,Richmond Hawks 2024 AA,87.07,
185,Patriot Elite 2024 Navy,87.03,
186,DelCo 2024,86.92,
187,Piatelli Central 2024 Graham,86.92,
188,Kings 2024 Blue,86.75,
189,UL MAX (PA) 2024,86.68,
190,Iron Horse Austin 2024,86.67,
191,RI Bulldogs 2024,86.67,
192,Team Twenty4 East 2024,86.67,
193,Top Caliber 2024 AA,86.61,
194,BBL Helix 2024,86.59,
195,Bucks Select 2024,86.58,
196,True Maryland 2024,86.55,
197,Dominate 2024,86.52,
198,Great Lakes 2024,86.42,
199,Yellowhammer 2024,86.39,
200,MN Loons 2024,86.2,
201,FL Crabs 2024 West-Ross,86.01,
202,NJ Riot 2024 North,86.0,
203,ADVNC Sacramento 2024,85.96,
204,Team 91 Tri State Varsity,85.96,
205,Next Level 2024 Red,85.94,
206,Sidewinders 2024,85.92,
207,True ID 2024,85.92,
208,Blak Widow 2024,85.86,
209,Coyotes 2024 Blue,85.86,
210,Koopers 2024 Blue,85.81,
