index,Team,Record,RPI,Projections,1st,2nd,3rd,SOS,vs 1-5,vs 6-10,vs 11-20,vs 21+
68,Swarthmore,7-4,0.5645,,0.6364,0.5313,0.5589,89,0 - 1,0 - 1,0 - 1,7 - 1
69,Union,6-4,0.5632,,0.6000,0.5488,0.5552,101,0 - 0,0 - 1,0 - 2,6 - 1
70,Johnson & Wales,8-4,0.5631,,0.6667,0.5514,0.4829,146,0 - 0,0 - 1,0 - 0,8 - 3
71,Emmanuel (MA),10-4,0.5624,,0.7143,0.5271,0.4810,123,0 - 0,0 - 0,0 - 0,10 - 4
72,Oswego,8-5,0.5603,,0.6154,0.5678,0.4903,98,0 - 0,0 - 0,0 - 0,8 - 5
73,Westfield State,8-6,0.5589,,0.5714,0.5517,0.5609,37,0 - 0,0 - 0,0 - 2,8 - 4
74,Ursinus,7-5,0.5579,,0.5833,0.5525,0.5432,68,0 - 0,0 - 1,0 - 1,7 - 3
75,Juniata,11-2,0.5578,,0.8462,0.4305,0.5242,150,0 - 0,0 - 0,0 - 0,11 - 2
76,Randolph-Macon,9-5,0.5567,,0.6429,0.5221,0.5398,75,0 - 0,0 - 1,0 - 1,9 - 3
77,Sewanee,11-6,0.5562,,0.6471,0.5377,0.5024,58,0 - 0,0 - 0,0 - 0,11 - 6
78,Aurora,6-6,0.5557,,0.5000,0.6193,0.4843,88,0 - 0,0 - 0,0 - 0,6 - 6
79,St. Joseph's (ME),9-3,0.5550,,0.7500,0.4982,0.4735,179,0 - 0,0 - 0,0 - 0,9 - 3
80,Chapman,8-3,0.5546,,0.7273,0.4856,0.5201,147,0 - 0,0 - 0,0 - 2,8 - 1
81,Oglethorpe,8-4,0.5539,,0.6667,0.5299,0.4889,145,0 - 0,0 - 0,0 - 0,8 - 4
82,UW-LaCrosse,9-4,0.5515,,0.6923,0.5044,0.5050,109,0 - 0,0 - 0,0 - 1,9 - 3
83,Baldwin Wallace,9-6,0.5496,,0.6000,0.5453,0.5078,66,0 - 0,0 - 0,0 - 0,9 - 6
84,Brockport,7-5,0.5477,,0.5833,0.5275,0.5524,81,0 - 0,0 - 1,0 - 0,7 - 4
85,Oberlin,4-9,0.5477,,0.3077,0.6573,0.5683,25,0 - 0,0 - 1,0 - 0,4 - 8
86,Susquehanna,9-5,0.5473,,0.6429,0.4975,0.5514,74,0 - 0,0 - 0,0 - 1,9 - 4
87,Carthage,9-4,0.5460,,0.6923,0.4881,0.5155,117,0 - 0,0 - 0,0 - 1,9 - 3
88,Rowan,4-9,0.5459,,0.3077,0.6616,0.5528,32,0 - 0,0 - 1,0 - 1,4 - 7
89,UW-River Falls,9-3,0.5450,,0.7500,0.4554,0.5192,143,0 - 0,0 - 0,0 - 1,9 - 2
90,Occidental,6-5,0.5441,,0.5455,0.5652,0.5006,129,0 - 0,0 - 0,0 - 2,6 - 3
91,Utica,9-3,0.5437,,0.7500,0.4451,0.5348,133,0 - 0,0 - 0,0 - 0,9 - 3
92,Lynchburg,9-5,0.5426,,0.6429,0.5050,0.5177,96,0 - 0,0 - 0,0 - 1,9 - 4
93,Bates College,5-8,0.5410,,0.3846,0.5908,0.5979,18,0 - 2,0 - 0,0 - 1,5 - 5
94,Mary Washington,4-8,0.5395,,0.3333,0.6243,0.5759,30,0 - 0,0 - 0,0 - 1,4 - 7
95,Clarkson,8-4,0.5370,,0.6667,0.4626,0.5562,97,0 - 0,0 - 1,0 - 1,8 - 2
96,Methodist University,10-2,0.5368,,0.8333,0.4111,0.4918,181,0 - 0,0 - 0,0 - 0,10 - 2
97,John Carroll,6-6,0.5363,,0.5000,0.5571,0.5309,71,0 - 0,0 - 0,0 - 0,6 - 6
98,Widener,7-6,0.5346,,0.5385,0.5278,0.5444,54,0 - 0,0 - 0,0 - 2,7 - 4
99,DeSales,10-2,0.5345,,0.8333,0.4006,0.5034,182,0 - 0,0 - 0,0 - 0,10 - 2
100,Washington & Jefferson,6-6,0.5340,,0.5000,0.5663,0.5035,95,0 - 0,0 - 0,0 - 1,6 - 5
101,Colby-Sawyer,10-3,0.5334,,0.7692,0.4625,0.4394,206,0 - 0,0 - 0,0 - 0,10 - 3
102,US Merchant Marine,8-2,0.5319,,0.8000,0.4126,0.5025,203,0 - 0,0 - 0,0 - 0,8 - 2
103,Kean,7-7,0.5316,,0.5000,0.5564,0.5134,63,0 - 0,0 - 0,0 - 0,7 - 7
104,Maritime College,6-3,0.5310,,0.6667,0.4899,0.4774,194,0 - 0,0 - 0,0 - 0,6 - 3
105,Keene State,7-4,0.5299,,0.6364,0.5075,0.4683,158,0 - 0,0 - 0,0 - 0,7 - 4
106,Messiah,5-8,0.5297,,0.3846,0.5759,0.5825,25,0 - 2,0 - 1,0 - 0,5 - 5
107,Roger Williams,7-7,0.5266,,0.5000,0.5379,0.5309,39,0 - 0,0 - 0,0 - 3,7 - 4
108,Meredith,8-5,0.5264,,0.6154,0.5021,0.4859,112,0 - 0,0 - 0,0 - 1,8 - 4
109,Marymount,8-6,0.5261,,0.5714,0.5322,0.4684,104,0 - 0,0 - 0,0 - 0,8 - 6
110,Nazareth,5-7,0.5261,,0.4167,0.5974,0.4927,79,0 - 0,0 - 0,0 - 1,5 - 6
111,Plymouth State,6-6,0.5256,,0.5000,0.5494,0.5034,65,0 - 0,0 - 0,0 - 0,6 - 6
112,Cornell College,10-2,0.5239,,0.8333,0.4031,0.4562,227,0 - 0,0 - 0,0 - 0,10 - 2
113,Rochester,8-5,0.5231,,0.6154,0.4662,0.5446,78,0 - 0,0 - 1,0 - 0,8 - 4
114,Misericordia,4-7,0.5230,,0.3636,0.6213,0.4857,93,0 - 0,0 - 0,0 - 0,4 - 7
115,Willamette,10-2,0.5223,,0.8333,0.3915,0.4727,215,0 - 0,0 - 0,0 - 0,10 - 2
116,Simmons,7-8,0.5212,,0.4667,0.5827,0.4530,136,0 - 0,0 - 0,0 - 0,7 - 8
117,Saint Benedict,5-2,0.5209,,0.7143,0.4433,0.4828,212,0 - 0,0 - 0,0 - 0,5 - 2
118,Smith College,7-8,0.5207,,0.4667,0.5302,0.5558,45,0 - 0,0 - 0,0 - 1,7 - 7
119,Ohio Northern,8-6,0.5165,,0.5714,0.5082,0.4781,119,0 - 0,0 - 0,0 - 0,8 - 6
120,Moravian,6-6,0.5160,,0.5000,0.5147,0.5344,86,0 - 0,0 - 1,0 - 0,6 - 5
121,Wheaton,8-6,0.5150,,0.5714,0.4754,0.5375,91,0 - 0,0 - 0,0 - 0,8 - 6
122,Worcester State,7-6,0.5137,,0.5385,0.4937,0.5290,116,0 - 0,0 - 0,0 - 0,7 - 6
123,RIT,6-6,0.5133,,0.5000,0.5127,0.5278,80,0 - 0,0 - 1,0 - 0,6 - 5
124,Skidmore,6-7,0.5101,,0.4615,0.5120,0.5546,50,0 - 0,0 - 0,0 - 1,6 - 6
125,Trine,7-3,0.5066,,0.7000,0.4354,0.4554,228,0 - 0,0 - 0,0 - 0,7 - 3
126,Bridgewater,8-7,0.5065,,0.5333,0.4882,0.5164,100,0 - 0,0 - 1,0 - 0,8 - 6
127,Edgewood,7-6,0.5062,,0.5385,0.5002,0.4858,140,0 - 0,0 - 0,0 - 0,7 - 6
128,Bryn Athyn,7-2,0.5059,,0.7778,0.3865,0.4729,241,0 - 0,0 - 0,0 - 0,7 - 2
129,Redlands,6-9,0.5046,,0.4000,0.5566,0.5053,45,0 - 0,0 - 0,0 - 2,6 - 7
130,Illinois Wesleyan,6-7,0.5031,,0.4615,0.5200,0.5109,75,0 - 0,0 - 0,0 - 1,6 - 6
131,Drew,7-7,0.5030,,0.5000,0.4843,0.5437,57,0 - 0,0 - 0,0 - 0,7 - 7
132,McDaniel,6-7,0.5029,,0.4615,0.5045,0.5411,64,0 - 0,0 - 1,0 - 1,6 - 5
133,Lebanon Valley,8-5,0.5020,,0.6154,0.4376,0.5176,135,0 - 0,0 - 1,0 - 1,8 - 3
134,St. Lawrence,3-9,0.5017,,0.2500,0.5966,0.5636,38,0 - 2,0 - 1,0 - 1,3 - 5
135,Hartwick,6-5,0.5003,,0.5455,0.4851,0.4856,158,0 - 0,0 - 0,0 - 0,6 - 5
136,Buffalo State,6-5,0.4992,,0.5455,0.4918,0.4680,178,0 - 0,0 - 0,0 - 0,6 - 5
137,Southern Maine,5-5,0.4980,,0.5000,0.5015,0.4887,172,0 - 0,0 - 0,0 - 1,5 - 4
138,Neumann,6-7,0.4976,,0.4615,0.5350,0.4587,139,0 - 0,0 - 0,0 - 0,6 - 7
139,Farmingdale State,5-8,0.4942,,0.3846,0.5453,0.5017,92,0 - 0,0 - 1,0 - 0,5 - 7
140,Nichols,11-3,0.4925,,0.7857,0.3535,0.4774,214,0 - 0,0 - 0,0 - 0,11 - 3
141,Norwich,8-3,0.4922,,0.7273,0.3801,0.4811,226,0 - 0,0 - 0,0 - 0,8 - 3
142,Lycoming,5-7,0.4899,,0.4167,0.5247,0.4936,113,0 - 0,0 - 0,0 - 0,5 - 7
143,Bridgewater State,5-9,0.4897,,0.3571,0.5450,0.5118,77,0 - 0,0 - 0,0 - 0,5 - 9
144,Plattsburg State,3-9,0.4881,,0.2500,0.6125,0.4775,82,0 - 0,0 - 0,0 - 0,3 - 9
145,Clark,7-7,0.4872,,0.5000,0.4753,0.4983,110,0 - 0,0 - 0,0 - 1,7 - 6
146,Beloit,5-4,0.4858,,0.5556,0.4712,0.4450,225,0 - 0,0 - 0,0 - 0,5 - 4
147,Whitworth,7-4,0.4856,,0.6364,0.4166,0.4730,215,0 - 0,0 - 0,0 - 0,7 - 4
148,FDU Florham,3-7,0.4837,,0.3000,0.5888,0.4573,153,0 - 0,0 - 0,0 - 0,3 - 7
149,Marywood,6-7,0.4836,,0.4615,0.5057,0.4615,154,0 - 0,0 - 0,0 - 0,6 - 7
150,Ferrum,8-4,0.4828,,0.6667,0.3822,0.5001,195,0 - 0,0 - 1,0 - 0,8 - 3
151,Immaculata,8-5,0.4823,,0.6154,0.4310,0.4519,187,0 - 0,0 - 0,0 - 0,8 - 5
152,Transylvania,5-7,0.4823,,0.4167,0.5113,0.4900,99,0 - 0,0 - 0,0 - 0,5 - 7
153,Oneonta,4-9,0.4770,,0.3077,0.5465,0.5072,83,0 - 0,0 - 0,0 - 0,4 - 9
154,Eastern Connecticut,6-6,0.4755,,0.5000,0.4401,0.5218,126,0 - 0,0 - 0,0 - 0,6 - 6
155,Piedmont,8-6,0.4754,,0.5714,0.4237,0.4826,149,0 - 0,0 - 0,0 - 0,8 - 6
156,Potsdam,3-7,0.4719,,0.3000,0.5568,0.4743,161,0 - 0,0 - 0,0 - 0,3 - 7
157,Hood,4-9,0.4708,,0.3077,0.5439,0.4879,85,0 - 0,0 - 0,0 - 0,4 - 9
158,Emerson,5-8,0.4706,,0.3846,0.5009,0.4959,104,0 - 0,0 - 0,0 - 1,5 - 7
159,Rivier,6-6,0.4699,,0.5000,0.4705,0.4387,207,0 - 0,0 - 0,0 - 0,6 - 6
160,Cedar Crest,4-3,0.4691,,0.5714,0.4331,0.4386,249,0 - 0,0 - 0,0 - 0,4 - 3
161,Allegheny,5-6,0.4673,,0.4545,0.4652,0.4842,165,0 - 0,0 - 0,0 - 0,5 - 6
162,North Central,6-3,0.4652,,0.6667,0.3639,0.4661,254,0 - 0,0 - 0,0 - 0,6 - 3
163,St. Joseph's (NY),6-4,0.4635,,0.6000,0.3965,0.4609,244,0 - 0,0 - 0,0 - 0,6 - 4
164,Grove City,9-3,0.4625,,0.7500,0.3209,0.4581,253,0 - 0,0 - 0,0 - 0,9 - 3
165,Southwestern,2-6,0.4614,,0.2500,0.5427,0.5105,130,0 - 0,0 - 0,0 - 1,2 - 5
166,Mass Maritime,5-8,0.4605,,0.3846,0.5096,0.4383,170,0 - 0,0 - 0,0 - 0,5 - 8
167,Western New England,5-8,0.4596,,0.3846,0.4844,0.4847,108,0 - 0,0 - 0,0 - 0,5 - 8
168,Regis (MA),8-5,0.4586,,0.6154,0.3831,0.4527,202,0 - 0,0 - 0,0 - 0,8 - 5
169,Hamline,6-6,0.4583,,0.5000,0.4330,0.4673,177,0 - 0,0 - 0,0 - 0,6 - 6
170,Mount St. Mary,7-4,0.4583,,0.6364,0.3582,0.4802,235,0 - 0,0 - 0,0 - 0,7 - 4
171,Whitman,6-5,0.4566,,0.5455,0.4017,0.4777,204,0 - 0,0 - 0,0 - 0,6 - 5
172,Chatham,6-6,0.4558,,0.5000,0.4388,0.4456,197,0 - 0,0 - 0,0 - 0,6 - 6
173,St. Joseph (CT),9-4,0.4533,,0.6923,0.3174,0.4859,204,0 - 0,0 - 0,0 - 0,9 - 4
174,UMass-Dartmouth,8-4,0.4533,,0.6667,0.3494,0.4475,240,0 - 0,0 - 0,0 - 0,8 - 4
175,SUNY Canton,5-5,0.4516,,0.5000,0.4148,0.4766,200,0 - 0,0 - 0,0 - 0,5 - 5
176,MSOE,3-6,0.4508,,0.3333,0.5085,0.4528,192,0 - 0,0 - 0,0 - 0,3 - 6
177,Marietta,6-7,0.4506,,0.4615,0.4397,0.4616,171,0 - 0,0 - 0,0 - 0,6 - 7
178,Hartford,6-6,0.4500,,0.5000,0.4002,0.4995,160,0 - 0,0 - 0,0 - 0,6 - 6
179,Wells,11-0,0.4493,,1.0000,0.1799,0.4375,280,0 - 0,0 - 0,0 - 0,11 - 0
180,Alvernia,4-9,0.4477,,0.3077,0.4945,0.4942,90,0 - 0,0 - 0,0 - 0,4 - 9
181,Elms,4-5,0.4460,,0.4444,0.4349,0.4696,223,0 - 0,0 - 0,0 - 0,4 - 5
182,Southern Virginia,5-7,0.4460,,0.4167,0.4512,0.4647,168,0 - 0,0 - 0,0 - 0,5 - 7
183,Guilford,5-7,0.4453,,0.4167,0.4712,0.4220,190,0 - 0,0 - 0,0 - 0,5 - 7
184,Albion,2-6,0.4447,,0.2500,0.5167,0.4954,157,0 - 0,0 - 0,0 - 0,2 - 6
185,Pfeiffer,5-6,0.4439,,0.4545,0.4494,0.4223,211,0 - 0,0 - 0,0 - 0,5 - 6
186,Ramapo,3-6,0.4428,,0.3333,0.4873,0.4630,199,0 - 0,0 - 1,0 - 0,3 - 5
187,Hendrix,3-7,0.4397,,0.3000,0.4858,0.4872,163,0 - 0,0 - 0,0 - 0,3 - 7
188,Manhattanville,5-7,0.4396,,0.4167,0.4328,0.4760,175,0 - 0,0 - 0,0 - 0,5 - 7
189,Adrian,3-4,0.4395,,0.4286,0.4310,0.4673,219,0 - 0,0 - 0,0 - 0,3 - 4
190,Maine Maritime,6-5,0.4393,,0.5455,0.4080,0.3959,258,0 - 0,0 - 0,0 - 0,6 - 5
191,New England College,5-8,0.4393,,0.3846,0.4656,0.4414,173,0 - 0,0 - 0,0 - 0,5 - 8
192,Muskingum,7-7,0.4393,,0.5000,0.4103,0.4365,180,0 - 0,0 - 0,0 - 0,7 - 7
193,Wilson College,7-4,0.4384,,0.6364,0.3191,0.4788,247,0 - 0,0 - 0,0 - 0,7 - 4
194,Wittenberg,6-7,0.4382,,0.4615,0.4060,0.4792,167,0 - 0,0 - 1,0 - 0,6 - 6
195,Virginia Wesleyan,4-8,0.4374,,0.3333,0.4735,0.4692,142,0 - 0,0 - 0,0 - 0,4 - 8
196,Fitchburg State,6-7,0.4349,,0.4615,0.4126,0.4530,189,0 - 0,0 - 0,0 - 0,6 - 7
197,Averett,1-10,0.4337,,0.0909,0.6014,0.4409,144,0 - 0,0 - 0,0 - 0,1 - 10
198,Mount St. Vincent,4-7,0.4335,,0.3636,0.4611,0.4482,198,0 - 0,0 - 0,0 - 0,4 - 7
199,Wellesley,2-11,0.4334,,0.1538,0.5583,0.4630,106,0 - 0,0 - 0,0 - 0,2 - 11
200,Vassar,3-9,0.4327,,0.2500,0.4870,0.5068,113,0 - 0,0 - 0,0 - 0,3 - 9
201,Northwestern St. Paul,4-7,0.4321,,0.3636,0.4581,0.4484,201,0 - 0,0 - 0,0 - 0,4 - 7
202,Thiel College,6-3,0.4320,,0.6667,0.3193,0.4228,272,0 - 0,0 - 0,0 - 0,6 - 3
203,Elizabethtown,4-7,0.4311,,0.3636,0.4511,0.4585,196,0 - 0,0 - 0,0 - 0,4 - 7
204,St. Mary's (IN),1-9,0.4302,,0.1000,0.5646,0.4914,131,0 - 0,0 - 0,0 - 0,1 - 9
205,Brevard,8-5,0.4293,,0.6154,0.3238,0.4540,243,0 - 0,0 - 0,0 - 0,8 - 5
206,Alma,2-6,0.4280,,0.2500,0.4795,0.5030,151,0 - 0,0 - 0,0 - 0,2 - 6
207,Delaware Valley,5-8,0.4280,,0.3846,0.4383,0.4507,166,0 - 0,0 - 0,0 - 0,5 - 8
208,University of New England,5-8,0.4268,,0.3846,0.4238,0.4751,156,0 - 0,0 - 0,0 - 0,5 - 8
209,Cal Lutheran,4-10,0.4264,,0.2857,0.4674,0.4852,94,0 - 0,0 - 0,0 - 1,4 - 9
210,Calvin,3-8,0.4261,,0.2727,0.4623,0.5071,152,0 - 0,0 - 0,0 - 0,3 - 8
211,Anderson,3-1,0.4250,,0.7500,0.2752,0.3994,279,0 - 0,0 - 0,0 - 0,3 - 1
212,Marian (WI),4-8,0.4239,,0.3333,0.4408,0.4805,174,0 - 0,0 - 0,0 - 0,4 - 8
213,Lasell,5-7,0.4215,,0.4167,0.4311,0.4073,230,0 - 0,0 - 0,0 - 0,5 - 7
214,Goucher,3-10,0.4206,,0.2308,0.4884,0.4747,137,0 - 0,0 - 0,0 - 0,3 - 10
215,Arcadia,6-7,0.4204,,0.4615,0.3509,0.5183,155,0 - 0,0 - 0,0 - 0,6 - 7
216,UW Stout,2-7,0.4194,,0.2222,0.4915,0.4725,183,0 - 0,0 - 0,0 - 1,2 - 6
217,Husson,3-7,0.4186,,0.3000,0.4632,0.4481,208,0 - 0,0 - 0,0 - 0,3 - 7
218,Fredonia,4-10,0.4177,,0.2857,0.4501,0.4848,120,0 - 0,0 - 0,0 - 0,4 - 10
219,Sage,5-6,0.4158,,0.4545,0.3559,0.4968,220,0 - 0,0 - 0,0 - 0,5 - 6
220,Eastern Mennonite,2-9,0.4137,,0.1818,0.5356,0.4018,185,0 - 0,0 - 1,0 - 0,2 - 8
221,Concordia WI,4-7,0.4119,,0.3636,0.4060,0.4719,193,0 - 0,0 - 0,0 - 0,4 - 7
222,Alfred,5-6,0.4103,,0.4545,0.3851,0.4164,262,0 - 0,0 - 0,0 - 0,5 - 6
223,Albright,1-12,0.4084,,0.0769,0.5321,0.4926,87,0 - 0,0 - 0,0 - 0,1 - 12
224,Bryn Mawr,0-6,0.4047,,0.0000,0.5909,0.4371,162,0 - 0,0 - 0,0 - 0,0 - 6
225,Puget Sound,2-7,0.4046,,0.2222,0.4765,0.4431,210,0 - 0,0 - 0,0 - 0,2 - 7
226,Randolph,2-4,0.4037,,0.3333,0.4192,0.4430,231,0 - 0,0 - 0,0 - 0,2 - 4
227,Mount Holyoke,1-12,0.4031,,0.0769,0.5264,0.4826,107,0 - 0,0 - 0,0 - 1,1 - 11
228,Linfield,3-7,0.4023,,0.3000,0.4312,0.4467,221,0 - 0,0 - 0,0 - 0,3 - 7
229,Illinois Tech,3-9,0.3987,,0.2500,0.4474,0.4501,184,0 - 0,0 - 0,0 - 0,3 - 9
230,Mount Aloysius,5-4,0.3973,,0.5556,0.3256,0.3825,275,0 - 0,0 - 0,0 - 0,5 - 4
231,Morrisville State,5-5,0.3964,,0.5000,0.3226,0.4401,266,0 - 0,0 - 0,0 - 0,5 - 5
232,Elmhurst,2-8,0.3859,,0.2000,0.4566,0.4304,224,0 - 0,0 - 0,0 - 0,2 - 8
233,Wilkes,2-12,0.3859,,0.1429,0.4687,0.4634,128,0 - 0,0 - 0,0 - 0,2 - 12
