rank,club,rating,link,gender,class,season,web_source
--,M&D 2026 SHORE,--,,girls,2026,2024,insidelacrosse
--,M&D Orlando 2026 Black,--,,girls,2026,2024,insidelacrosse
--,M&D Shore 2026 Black,--,,girls,2026,2024,insidelacrosse
--,MACLax 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,Mad Dog North NJ 2026 Black,--,,girls,2026,2024,insidelacrosse
--,Mad Dog North NJ 2026 Red,--,,girls,2026,2024,insidelacrosse
--,Mad Dog West Elite 2026,--,,girls,2026,2024,insidelacrosse
--,MFL 2026 Black,--,,girls,2026,2024,insidelacrosse
--,MFL 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,Mass Elite 2026 Red,--,,girls,2026,2024,insidelacrosse
--,Mass Elite 2026 White,--,,girls,2026,2024,insidelacrosse
--,Maxim 2026 Navy,--,,girls,2026,2024,insidelacrosse
--,Maxim 2026 Teal,--,,girls,2026,2024,insidelacrosse
--,MC Elite 2026 Carolina,--,,girls,2026,2024,insidelacrosse
--,MC Elite 2026 Midnight,--,,girls,2026,2024,insidelacrosse
--,MD United 2026,--,,girls,2026,2024,insidelacrosse
--,MD United 2026 East,--,,girls,2026,2024,insidelacrosse
--,Metro 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,Metro Green 2026,--,,girls,2026,2024,insidelacrosse
--,Ladies Bigfoot Lacrosse Pink 2026,--,,girls,2026,2024,insidelacrosse
--,Minnesota Elite 2026,--,,girls,2026,2024,insidelacrosse
--,Monarch Orange 2026,--,,girls,2026,2024,insidelacrosse
--,Monster Elite 2026 Purple,--,,girls,2026,2024,insidelacrosse
--,Monster Elite 2026 White,--,,girls,2026,2024,insidelacrosse
--,NEMS 2026,--,,girls,2026,2024,insidelacrosse
--,Next Level 2026 Blue,--,,girls,2026,2024,insidelacrosse
--,NH Tomahawks 2026 Purple,--,,girls,2026,2024,insidelacrosse
--,No Excuse 2026,--,,girls,2026,2024,insidelacrosse
--,Nor'easter 2026 Grit,--,,girls,2026,2024,insidelacrosse
--,Nor'easter 2026 Power,--,,girls,2026,2024,insidelacrosse
--,NXT 2026 Black,--,,girls,2026,2024,insidelacrosse
--,NXT 2026 Volt,--,,girls,2026,2024,insidelacrosse
--,Ohio Premier Midwest East 2026,--,,girls,2026,2024,insidelacrosse
--,Ohio Premier Midwest West 2026,--,,girls,2026,2024,insidelacrosse
--,Orange Crush 2026,--,,girls,2026,2024,insidelacrosse
--,Oregon Pride 2026,--,,girls,2026,2024,insidelacrosse
--,Phantastix 2026 Purple,--,,girls,2026,2024,insidelacrosse
--,Phantastix 2026 West,--,,girls,2026,2024,insidelacrosse
--,Phantastix 2026 White,--,,girls,2026,2024,insidelacrosse
--,Phantoms LC 2026,--,,girls,2026,2024,insidelacrosse
--,Philadelphia Freedom 2026 White,--,,girls,2026,2024,insidelacrosse
--,Philadelphia Freedom Red 2026,--,,girls,2026,2024,insidelacrosse
--,Philadelphia Freedom White 2026,--,,girls,2026,2024,insidelacrosse
--,Philly Blast 2026 Spirit,--,,girls,2026,2024,insidelacrosse
--,Philly Blast 2026 Strength,--,,girls,2026,2024,insidelacrosse
--,Pipeline Platinum Blue 2026,--,,girls,2026,2024,insidelacrosse
--,Pipeline Platinum Red 2026,--,,girls,2026,2024,insidelacrosse
--,Pittsburgh Premier Silver 2026,--,,girls,2026,2024,insidelacrosse
--,PPLC 2026,--,,girls,2026,2024,insidelacrosse
--,Predators 2026,--,,girls,2026,2024,insidelacrosse
--,Pride 2026 BLACK,--,,girls,2026,2024,insidelacrosse
--,Pride 2026 Black Loudoun,--,,girls,2026,2024,insidelacrosse
--,Pride 2026 Loudon (Nova),--,,girls,2026,2024,insidelacrosse
--,Pride 2026 Red (Nova),--,,girls,2026,2024,insidelacrosse
--,Pride 2026 White,--,,girls,2026,2024,insidelacrosse
--,Pride 2026 White (Nova),--,,girls,2026,2024,insidelacrosse
--,PrimeTime 2026,--,,girls,2026,2024,insidelacrosse
--,Pure Advantage Premier 2026,--,,girls,2026,2024,insidelacrosse
--,R2 Lacrosse Club 2026,--,,girls,2026,2024,insidelacrosse
--,Rebels 2026,--,,girls,2026,2024,insidelacrosse
--,Recon 2026,--,,girls,2026,2024,insidelacrosse
--,Reign 2026,--,,girls,2026,2024,insidelacrosse
--,Relentless Hustle 2026,--,,girls,2026,2024,insidelacrosse
--,Renegades 2026,--,,girls,2026,2024,insidelacrosse
--,Resolute 2026,--,,girls,2026,2024,insidelacrosse
--,REV 2026 Black,--,,girls,2026,2024,insidelacrosse
--,214Lax Dallas 2025,--,,girls,2025,2021,insidelacrosse
--,3D Colorado 2025 AA,--,,girls,2025,2021,insidelacrosse
--,3D Maryland 2025 Baltimore,--,,girls,2025,2021,insidelacrosse
--,3D Maryland 2025 Baltimore,--,,girls,2025,2021,insidelacrosse
--,3D Maryland 2025 Frederick,--,,girls,2025,2021,insidelacrosse
--,3D National 2025 Dodgers,--,,girls,2025,2021,insidelacrosse
--,Aces 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,ADK 2025,--,,girls,2025,2021,insidelacrosse
--,AFA 2025,--,,girls,2025,2021,insidelacrosse
--,All Lax Select 2025 Empower,--,,girls,2025,2021,insidelacrosse
--,ALL Lax Select 2025 Inspire,--,,girls,2025,2021,insidelacrosse
--,Aim 2025,--,,girls,2025,2021,insidelacrosse
--,All American Aim 2025 Stars and Stripes,--,,girls,2025,2021,insidelacrosse
--,Atlanta Storm 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,Atlanta Storm 2025 Orange,--,,girls,2025,2021,insidelacrosse
--,Bandits 2025,--,,girls,2025,2021,insidelacrosse
--,Bay Area 2025,--,,girls,2025,2021,insidelacrosse
--,BBL Elite 2025 Black,--,,girls,2025,2021,insidelacrosse
--,BBL Elite 2025 Select,--,,girls,2025,2021,insidelacrosse
--,BBL 2025 North,--,,girls,2025,2021,insidelacrosse
--,Big 4 HHH 2025,--,,girls,2025,2021,insidelacrosse
--,Big 4 HHH 2025,--,,girls,2025,2021,insidelacrosse
--,Blackjack 2025-26,--,,girls,2025,2021,insidelacrosse
--,BLC 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,BLC 25/26 Orange,--,,girls,2025,2021,insidelacrosse
--,Cardinal 2025,--,,girls,2025,2021,insidelacrosse
--,Cavalier 2025,--,,girls,2025,2021,insidelacrosse
--,Cavalier 2025-2026,--,,girls,2025,2021,insidelacrosse
--,CCLAX 2025,--,,girls,2025,2021,insidelacrosse
--,CLC 2025 Bold,--,,girls,2025,2021,insidelacrosse
--,CLC 2025 Pride,--,,girls,2025,2021,insidelacrosse
--,CLC 2025 Rise,--,,girls,2025,2021,insidelacrosse
--,CLC 2025 Select,--,,girls,2025,2021,insidelacrosse
--,Central PA Fusion 2025,--,,girls,2025,2021,insidelacrosse
--,Charlotte Style 2025,--,,girls,2025,2021,insidelacrosse
--,Charlotte Style 2025 Black,--,,girls,2025,2021,insidelacrosse
--,Charlotte Style 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,CheckHers 2025,--,,girls,2025,2021,insidelacrosse
--,CincyLax 2025,--,,girls,2025,2021,insidelacrosse
--,Coppermine 2025 Black,--,,girls,2025,2021,insidelacrosse
--,Coppermine 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,CT Grizzlies 2025 Navy,--,,girls,2025,2021,insidelacrosse
--,CT Grizzlies 2025 Yellow,--,,girls,2025,2021,insidelacrosse
--,DelCo 2025 Select,--,,girls,2025,2021,insidelacrosse
--,DEWLAX 2025 BLACK,--,,girls,2025,2021,insidelacrosse
--,DEWLAX 2025 BLUE,--,,girls,2025,2021,insidelacrosse
--,DEWLAX 2025 ORANGE,--,,girls,2025,2021,insidelacrosse
--,Dynamite 2025 Black,--,,girls,2025,2021,insidelacrosse
--,Dynasty Elite 2025 Delta,--,,girls,2025,2021,insidelacrosse
--,Eagle Stix 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,ESLC Pirates 2025,--,,girls,2025,2021,insidelacrosse
--,Elite 2025,--,,girls,2025,2021,insidelacrosse
--,FAC 25 Blue,--,,girls,2025,2021,insidelacrosse
--,FCA MD 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,Florida Select 2025,--,,girls,2025,2021,insidelacrosse
--,Florida Shine Elite 2025,--,,girls,2025,2021,insidelacrosse
--,Gold Coast 2025 GOLD,--,,girls,2025,2021,insidelacrosse
--,Gold Coast 2025 Silver,--,,girls,2025,2021,insidelacrosse
--,GRIT Dallas 2025,--,,girls,2025,2021,insidelacrosse
--,HEADStrong 2025,--,,girls,2025,2021,insidelacrosse
--,HEADstrong Philly 2025,--,,girls,2025,2021,insidelacrosse
--,Hero's 2025 Green,--,,girls,2025,2021,insidelacrosse
--,Hero's 2025 White,--,,girls,2025,2021,insidelacrosse
--,HoCo 2025 Black,--,,girls,2025,2021,insidelacrosse
--,HOCO 2025 Pink,--,,girls,2025,2021,insidelacrosse
--,Hoco Girls 2025 Black,--,,girls,2025,2021,insidelacrosse
--,Indy United 2025,--,,girls,2025,2021,insidelacrosse
--,Integrity 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,Integrity 2025 Green,--,,girls,2025,2021,insidelacrosse
--,Iron Horse 2025,--,,girls,2025,2021,insidelacrosse
--,Jersey Shore Select 2025,--,,girls,2025,2021,insidelacrosse
--,Jersey Thunder Bolt 2025,--,,girls,2025,2021,insidelacrosse
--,LA Fire Lacrosse 2025,--,,girls,2025,2021,insidelacrosse
--,Lady Blue Crabs 2025 Red,--,,girls,2025,2021,insidelacrosse
--,Lady Blue Crabs 25 Black,--,,girls,2025,2021,insidelacrosse
--,LBC 2025,--,,girls,2025,2021,insidelacrosse
--,Lakeshore 2025,--,,girls,2025,2021,insidelacrosse
--,Lakeside Lacrosse Alpine 2025,--,,girls,2025,2021,insidelacrosse
--,Lax Maniax 2025 Black,--,,girls,2025,2021,insidelacrosse
--,Lax Maniax 2025 White,--,,girls,2025,2021,insidelacrosse
--,Lax On Elite 2025,--,,girls,2025,2021,insidelacrosse
--,Laxachusetts 2025 Green,--,,girls,2025,2021,insidelacrosse
--,Charlotte Style 2025 Black,--,,girls,2025,2021,insidelacrosse
--,LAXUHR 2025,--,,girls,2025,2021,insidelacrosse
--,LI Jesters 2025 Black,--,,girls,2025,2021,insidelacrosse
--,LI Jesters 2025 White,--,,girls,2025,2021,insidelacrosse
--,LI Legacy 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,LI Legacy 2025 Teal,--,,girls,2025,2021,insidelacrosse
--,LI Liberty 2025 Black,--,,girls,2025,2021,insidelacrosse
--,LI Top Guns 2025 Black,--,,girls,2025,2021,insidelacrosse
--,LI Top Guns 2025 Purple,--,,girls,2025,2021,insidelacrosse
--,Limitless Elite 2025,--,,girls,2025,2021,insidelacrosse
--,Lucky Lax 2025,--,,girls,2025,2021,insidelacrosse
--,M&D 2025 Black,--,,girls,2025,2021,insidelacrosse
--,M&D 2025 Red,--,,girls,2025,2021,insidelacrosse
--,M&D Orlando 2025 Black,--,,girls,2025,2021,insidelacrosse
--,Mass Elite 2025 Red,--,,girls,2025,2021,insidelacrosse
--,Mass Elite 2025 White,--,,girls,2025,2021,insidelacrosse
--,MC Elite 2025 Midnight,--,,girls,2025,2021,insidelacrosse
--,MD United 2025 East,--,,girls,2025,2021,insidelacrosse
--,MD United 2025 West,--,,girls,2025,2021,insidelacrosse
--,Metro 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,Mid Penn Blaze 25-26,--,,girls,2025,2021,insidelacrosse
--,Monster Elite 2025 Orange,--,,girls,2025,2021,insidelacrosse
--,Monster Elite 2025 Purple,--,,girls,2025,2021,insidelacrosse
--,Monster Elite 2025 White,--,,girls,2025,2021,insidelacrosse
--,Monster National 2025 White,--,,girls,2025,2021,insidelacrosse
--,Mountain Brook Spartans,--,,girls,2025,2021,insidelacrosse
--,NEMS 2025,--,,girls,2025,2021,insidelacrosse
--,NH Tomahawks 2025 Purple,--,,girls,2025,2021,insidelacrosse
--,Nor'easter 2025 Grit,--,,girls,2025,2021,insidelacrosse
--,Nor'easter 2025 Hustle,--,,girls,2025,2021,insidelacrosse
--,Nor'easter 2025 Power,--,,girls,2025,2021,insidelacrosse
--,NXT 2025 Black,--,,girls,2025,2021,insidelacrosse
--,NXT 2025 Volt,--,,girls,2025,2021,insidelacrosse
--,Ohio Premier 2025,--,,girls,2025,2021,insidelacrosse
--,Orange Crush 2025,--,,girls,2025,2021,insidelacrosse
--,Oregon Pride 2025,--,,girls,2025,2021,insidelacrosse
--,Palms Select 2025,--,,girls,2025,2021,insidelacrosse
--,Phantastix 2025 Purple,--,,girls,2025,2021,insidelacrosse
--,Phantastix 2025 West,--,,girls,2025,2021,insidelacrosse
--,Phantastix 2025 White,--,,girls,2025,2021,insidelacrosse
--,Philly Blast 2025 Power,--,,girls,2025,2021,insidelacrosse
--,Philly Blast 2025 Pride,--,,girls,2025,2021,insidelacrosse
--,PPLC 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,PRIDE 2025 BALTIMORE,--,,girls,2025,2021,insidelacrosse
--,Pride 2025 Loudon,--,,girls,2025,2021,insidelacrosse
--,Pride 2025 RED,--,,girls,2025,2021,insidelacrosse
--,Pride 2025 White,--,,girls,2025,2021,insidelacrosse
--,Primetime 2025,--,,girls,2025,2021,insidelacrosse
--,Queen City Stars Black 2025,--,,girls,2025,2021,insidelacrosse
--,Rebels 2025,--,,girls,2025,2021,insidelacrosse
--,Rebels 2025 Black,--,,girls,2025,2021,insidelacrosse
--,Redshirts 2025,--,,girls,2025,2021,insidelacrosse
--,Reign 2025,--,,girls,2025,2021,insidelacrosse
--,Relentless Hustle 2025,--,,girls,2025,2021,insidelacrosse
--,Renegades 2025,--,,girls,2025,2021,insidelacrosse
--,Renegades 25,--,,girls,2025,2021,insidelacrosse
--,REV 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,Salt City Snipers 2025,--,,girls,2025,2021,insidelacrosse
--,Sky Walkers 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,Sky Walkers 2025 White,--,,girls,2025,2021,insidelacrosse
--,Snipers Elite Lacrosse 2025,--,,girls,2025,2021,insidelacrosse
--,SoCal Express 2025 Platinum,--,,girls,2025,2021,insidelacrosse
--,SoCal Express 2025 Gold,--,,girls,2025,2021,insidelacrosse
--,Soundcrosse 2025,--,,girls,2025,2021,insidelacrosse
--,South Coast 2025,--,,girls,2025,2021,insidelacrosse
--,SJS 25 Black,--,,girls,2025,2021,insidelacrosse
--,SJS 25 Pink,--,,girls,2025,2021,insidelacrosse
--,South Jersey Select 2025 Black,--,,girls,2025,2021,insidelacrosse
--,South Jersey Select 2025 Pink,--,,girls,2025,2021,insidelacrosse
--,Southern Zone 2025,--,,girls,2025,2021,insidelacrosse
--,Southern Zone 2025,--,,girls,2025,2021,insidelacrosse
--,STARS 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,STARS 2025 Navy,--,,girls,2025,2021,insidelacrosse
--,STEPS California 2025,--,,girls,2025,2021,insidelacrosse
--,STEPS Elite NJ 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,STEPS Elite NJ 2025 White,--,,girls,2025,2021,insidelacrosse
--,Storm Select 2025,--,,girls,2025,2021,insidelacrosse
--,Storm Select 2025,--,,girls,2025,2021,insidelacrosse
--,T3 Elite Elite 2025,--,,girls,2025,2021,insidelacrosse
--,Team 180 2025,--,,girls,2025,2021,insidelacrosse
--,Team 91 Carolina 2025,--,,girls,2025,2021,insidelacrosse
--,Team Elevate 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,Team Elevate 2025 Red,--,,girls,2025,2021,insidelacrosse
--,Team ONE Wildcat 2025,--,,girls,2025,2021,insidelacrosse
--,Rebel Way 2025,--,,girls,2025,2021,insidelacrosse
--,TLC 2025 Red,--,,girls,2025,2021,insidelacrosse
--,TLC 2025 White,--,,girls,2025,2021,insidelacrosse
--,Triple Threat Elite 2025,--,,girls,2025,2021,insidelacrosse
--,Triple Threat Elite Central NJ 2025,--,,girls,2025,2021,insidelacrosse
--,Triumph 25/26,--,,girls,2025,2021,insidelacrosse
--,True CA Attack 2025,--,,girls,2025,2021,insidelacrosse
--,True California 2025,--,,girls,2025,2021,insidelacrosse
--,True Florida 2025,--,,girls,2025,2021,insidelacrosse
--,True Illinois 2025 Black,--,,girls,2025,2021,insidelacrosse
--,True Illinois 2025 State,--,,girls,2025,2021,insidelacrosse
--,True National 2025,--,,girls,2025,2021,insidelacrosse
--,UPROAR 25 ELITE,--,,girls,2025,2021,insidelacrosse
--,VA Metro 2025,--,,girls,2025,2021,insidelacrosse
--,Valley Select 25/26,--,,girls,2025,2021,insidelacrosse
--,Virginia One 2025 White,--,,girls,2025,2021,insidelacrosse
--,LI Yellow Jackets 2025 Galvin,--,,girls,2025,2021,insidelacrosse
--,LI Yellow Jackets 2025 Janelli,--,,girls,2025,2021,insidelacrosse
--,LI Yellow Jackets 2025 Lomangino,--,,girls,2025,2021,insidelacrosse
--,LI Yellow Jackets 2025 Spallina,--,,girls,2025,2021,insidelacrosse
--,LI Yellow Jackets Grzelaczyk 2025,--,,girls,2025,2021,insidelacrosse
--,Yellow Jackets 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,Yellow Jackets North 2025 Curran,--,,girls,2025,2021,insidelacrosse
--,Yellow Jackets North 2025 Quatro,--,,girls,2025,2021,insidelacrosse
--,Yellow Jackets North 2025 Willams,--,,girls,2025,2021,insidelacrosse
--,Yellow Jackets North Mid Atlantic 2025,--,,girls,2025,2021,insidelacrosse
--,Yellow Jackets North Rockland 2025,--,,girls,2025,2021,insidelacrosse
--,Yellow Jackets South 2025 Blue,--,,girls,2025,2021,insidelacrosse
--,Yellow Jackets South 2025 Gold,--,,girls,2025,2021,insidelacrosse
--,York Invaders 2025,--,,girls,2025,2021,insidelacrosse
1,LI Yellow Jackets 2025 Spallina,99.9,,girls,2025,2023,insidelacrosse
2,M&D 2025 Black,98.45,,girls,2025,2023,insidelacrosse
3,Mass Elite 2025 Red,98.36,,girls,2025,2023,insidelacrosse
4,Capital 2025 Blue,97.57,,girls,2025,2023,insidelacrosse
5,Sky Walkers 2025 Blue,97.18,,girls,2025,2023,insidelacrosse
6,STEPS Elite NJ 2025 Navy,97.13,,girls,2025,2023,insidelacrosse
7,Primetime 2025,97.1,,girls,2025,2023,insidelacrosse
8,Big 4 HHH 2025,96.45,,girls,2025,2023,insidelacrosse
9,NXT 2025 Black,96.41,,girls,2025,2023,insidelacrosse
10,Monster Elite 2025 Purple,96.07,,girls,2025,2023,insidelacrosse
11,Hero's 2025 Green,95.75,,girls,2025,2023,insidelacrosse
12,LI Yellow Jackets 2025 Thorn Rella,95.44,,girls,2025,2023,insidelacrosse
13,Aces Elite 2025,95.41,,girls,2025,2023,insidelacrosse
14,LI Top Guns 2025 Black,95.0,,girls,2025,2023,insidelacrosse
15,Salt City Snipers 2025 Pink,94.87,,girls,2025,2023,insidelacrosse
16,CT Grizzlies 2025 Navy,94.81,,girls,2025,2023,insidelacrosse
17,STEPS California 2025,94.26,,girls,2025,2023,insidelacrosse
18,LI Yellow Jackets 2025 Bertolone,93.96,,girls,2025,2023,insidelacrosse
19,LI Legacy 2025 Blue,93.94,,girls,2025,2023,insidelacrosse
20,Eagle Stix 2025 Blue,93.91,,girls,2025,2023,insidelacrosse
